server,command
bsbank,"grep ""Message ela"" notification.log"
bsbank,ls
bsbank,cat trap.log
bsbank,"grep ""Snmp No Response"" network.log"
bsbank,vi network.log 
bsbank,ls -al
bsbank,cd ../deploy/default/com.nkia.service.ibatis_1.0/schema/
bsbank,ls
bsbank,cd oracle/
bsbank,ls
bsbank,vi 3_fault.sql 
bsbank,cd ./..
bsbank,l
bsbank,cd ../..
bsbank,ls
bsbank,cd ../service/com.nkia.service.fault_1.0/
bsbank,ls
bsbank,vi fault_map.xml 
bsbank,cd ./..
bsbank,ls
bsbank,cd ../log
bsbank,ls
bsbank,cd ..
bsbank,cd ./log
bsbank,ls
bsbank,cd ../logs/
bsbank,ls
bsbank,vi controller.log
bsbank,cd ../bin
bsbank,vi startup.sh
bsbank,vi /nkia/BSBANK/manager/logs/console_20161017_2326.log 
bsbank,sftp 192.168.20.72
bsbank,cd /
bsbank,cd tmp
bsbank,ls
bsbank,mkdir cygnus_agent_test
bsbank,cd cygnus_agent_test/
bsbank,uname -a
bsbank,pwd
bsbank,ls
bsbank,gzip -d NNPAgent_SMS_Linux64_3.4_7.0.2.33.tar.gz 
bsbank,tar xvf NNPAgent_SMS_Linux64_3.4_7.0.2.33.tar 
bsbank,ls
bsbank,cd NNPAgent
bsbank,ls
bsbank,cd utils/
bsbank,ls
bsbank,cd INSTALL/
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,find ./ -name CA*
bsbank,cd ..
bsbank,find ./ -name *CA*
bsbank,cd ..
bsbank,ls
bsbank,cd cygnus_agent_test/
bsbank,ls
bsbank,cd NNPAgent
bsbank,cd
bsbank,ls
bsbank,cd /tmp/cygnus_agent_test/NNPAgent
bsbank,ls
bsbank,cd MAgent/
bsbank,ls
bsbank,cd conf
bsbank,ls
bsbank,vi MasterAgent.conf 
bsbank,cd ..
bsbank,ls
bsbank,ll
bsbank,cd ..
bsbank,ls
bsbank,ll
bsbank,cd ..
bsbank,ls
bsbank,./AgentInstall.sh -auip=192.168.20.72
bsbank,./AgentInstall.sh -auip=192.168.20.72 -magent
bsbank,./AgentInstall.sh -magent -addrc auip=192.168.20.72
bsbank,./AgentInstall.sh -magent auip=192.168.20.72 makey=192.168.232.186_cygnus -start -addrc
bsbank,ps -ef | grep AGENT
bsbank,ls
bsbank,cd NNPAgent
bsbank,netstat -ano | grep 31003
bsbank,netstat -ano | grep 21003
bsbank,ll
bsbank,cd Ma
bsbank,cd MAgent/
bsbank,ls
bsbank,cd conf/
bsbank,ls
bsbank,vi MasterAgent.conf
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,./agentstop.sh 
bsbank,./agentstart.sh 
bsbank,netstat -an | grep 31003
bsbank,ll
bsbank,cd MAgent/
bsbank,ls
bsbank,cd conf/
bsbank,ls
bsbank,vi MasterAgent.conf
bsbank,cd ..
bsbank,ll
bsbank,cd ..
bsbank,ll
bsbank,./agentstop.sh 
bsbank,cd SMSAgent/
bsbank,ls
bsbank,cd conf/
bsbank,ls
bsbank,vi SMSAgent.conf
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,./agentstart.sh 
bsbank,netstat -ano | grep 31003
bsbank,ps -ef | grep 7189
bsbank,ps -ef | grep AGENT
bsbank,cd Sm
bsbank,cd SMS
bsbank,cd SMSAgent/
bsbank,ls
bsbank,cd conf
bsbank,ls
bsbank,vi SMSAgent.conf
bsbank,ls
bsbank,ps -ef | grep SMS
bsbank,lsof -p 5373
bsbank,cd /nkia/app/VAgent/NNPAgent/
bsbank,ls
bsbank,cd MAgent
bsbank,ls
bsbank,cd con f
bsbank,cd conf
bsbank,ls
bsbank,vi MasterAgent.conf
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,cd /tmp/cygnus_agent_test/NNPAgent
bsbank,ls
bsbank,./agentstop.sh 
bsbank,cd ..
bsbank,ls
bsbank,cat /etc/rc.nomni1
bsbank,
bsbank,cat /etc/rc.nomni2
bsbank,c d..
bsbank,cd ..
bsbank,ls
bsbank,cd cygnus_agent_test/
bsbank,ls
bsbank,./AgentInstall.sh -uninstall
bsbank,cat /etc/rc.nomni2
bsbank,cat /etc/rc.nomni1
bsbank,ps -ef | grep AGENT
bsbank,ll
bsbank,cd ..
bsbank,ls
bsbank,cd cygnus_agent_test/
bsbank,pwd
bsbank,ls
bsbank,rm -rf rc.local.del.dat 
bsbank,rm -rf AgentInstall.sh 
bsbank,ls
bsbank,tar xvf NNPAgent_SMS_Linux64_3.4_7.0.2.33.tar 
bsbank,ls
bsbank,./AgentInstall.sh -magent auip=10.10.10.10 makey=MA_1.1.1.1 -addrc
bsbank,ls
bsbank,cd NNPAgent
bsbank,ls
bsbank,cd MAgent/
bsbank,ls
bsbank,cd conf
bsbank,ls
bsbank,vi 
bsbank,vi MasterAgent.conf
bsbank,cd ..
bsbank,ll
bsbank,cd ..
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,cd tmp
bsbank,ls
bsbank,cd cygnus_agent_test/
bsbank,l;s
bsbank,ls
bsbank,cd NNPAgent
bsbank,la
bsbank,ls
bsbank,./agentstop.sh 
bsbank,ls
bsbank,cd ..
bsbank,ls
bsbank,./AgentInstall.sh -uninstall
bsbank,cd ..
bsbank,l
bsbank,ll
bsbank,rm -r cygnus_agent_test/
bsbank,y
bsbank,ls
bsbank,crontab -e
bsbank,ps -ef | grep java
bsbank,halt
bsbank,ps -ef | grep AGENT
bsbank,clear
bsbank,ps -ef | grep AGENT
bsbank,cd /nkia/app
bsbank,cd VAgent
bsbank,ls
bsbank,cd NNPAgent
bsbank,ls
bsbank,./agentstart.sh
bsbank,ps -ef | grep AGENT
bsbank,clear
bsbank,ps -ef | grep AGENT
bsbank,cd ..
bsbank,cd agent
bsbank,cd NNPAgent
bsbank,clear
bsbank,pwd
bsbank,./agentstart.sh
bsbank,ps -ef | grep AGENT
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd tomcat/bin
bsbank,./startup.sh 
bsbank,tail -f ../logs/catalina.out
bsbank,cd /nkia/
bsbank,ls
bsbank,cd BSBANK
bsbank,ls
bsbank,cd manager/bin
bsbank,./startup.sh 
bsbank,tail -f ../logs/console_20161
bsbank,tail -f ../logs/console_20161208_1016.log 
bsbank,pwd
bsbank,cd/ ho
bsbank,ls
bsbank,cd /home/
bsbank,ls
